Work_year_representation,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
2021,3,2,42,21,100,13,0
2021,0,2,19,14,100,12,2
2021,2,2,32,27,100,25,0
2021,3,2,33,55,0,48,0
2021,0,2,22,27,50,25,0
2021,2,2,9,50,50,44,0
2021,0,3,1,7,100,48,2
2021,2,2,28,55,100,48,0
2021,0,2,11,55,100,48,1
2021,2,2,11,14,100,48,2
2021,2,2,12,55,0,48,0
2021,3,2,17,55,100,48,0
2021,2,2,5,25,50,48,0
2021,2,2,12,55,0,48,0
2021,2,2,22,55,0,48,0
2021,2,2,12,20,50,18,0
2021,2,2,48,8,100,6,0
2021,3,2,17,55,100,48,2
2021,3,2,17,55,100,48,1
2021,0,2,17,27,100,25,0
2021,3,2,38,14,50,12,0
2021,3,2,24,20,100,18,1
2021,3,2,33,20,100,18,2
2021,0,3,1,43,100,48,1
2021,2,2,17,40,100,37,0
2021,0,2,41,55,100,48,0
2021,2,2,22,39,100,36,0
2021,2,2,20,21,100,19,1
2021,0,2,12,55,100,48,2
2021,2,2,17,55,100,48,0
2021,2,2,7,18,50,42,1
2021,3,2,45,55,100,48,1
2021,0,2,12,55,100,48,1
2021,0,2,3,20,0,18,0
2021,0,3,12,18,50,16,1
2021,2,2,46,55,100,48,0
2021,3,2,41,55,50,48,2
2021,2,2,22,27,0,25,2
2021,0,2,38,27,100,25,2
2021,3,2,34,27,50,25,0
2021,0,2,37,28,50,26,2
2021,0,2,22,19,50,17,1
2021,2,2,4,56,100,48,1
2021,3,2,10,7,100,5,1
2021,0,2,22,55,0,48,2
2021,2,2,12,55,100,48,1
2021,2,2,36,32,50,29,2
2021,2,2,36,32,50,29,2
2021,3,2,46,55,0,48,0
2021,0,2,22,55,100,48,1
2021,2,2,12,55,100,48,0
2021,3,2,21,55,0,48,0
2021,3,2,18,55,0,48,0
2021,2,2,22,55,100,48,2
2021,2,2,17,55,100,48,0
2021,3,2,38,4,50,4,1
2021,2,2,48,19,50,17,1
2021,2,2,17,55,100,48,0
2021,3,2,18,55,100,48,0
2021,3,2,9,7,100,48,2
2021,3,2,25,32,0,29,2
2021,2,2,22,55,100,48,1
2021,2,2,22,8,100,6,0
2021,0,2,22,54,100,47,0
2021,3,2,21,55,100,48,0
2021,3,2,20,8,50,6,0
2021,2,2,22,50,100,24,1
2021,2,2,4,55,50,48,0
2021,3,2,15,55,100,48,1
2021,0,2,38,55,100,48,2
2021,1,2,29,49,50,43,0
2021,1,2,30,49,0,43,1
2021,2,2,17,36,50,33,0
2021,0,2,19,14,50,12,0
2021,1,2,25,14,50,12,1
2021,3,2,23,55,100,48,0
2021,0,2,17,55,100,48,0
2021,1,2,25,55,0,48,0
2021,0,2,5,55,50,48,2
2021,2,2,16,55,100,48,0
2021,2,2,16,55,100,48,0
2021,2,2,17,20,100,18,0
2021,0,2,12,55,100,48,2
2021,3,2,46,55,100,48,0
2021,3,2,48,46,50,41,0
2021,3,2,18,55,100,48,0
2021,2,2,22,37,0,34,2
2021,2,2,22,10,100,8,0
2021,0,2,38,55,50,48,2
2021,2,2,22,27,100,48,2
2021,2,2,7,27,0,25,0
2021,2,2,22,14,50,12,0
2021,2,2,17,47,0,48,0
2021,3,2,27,20,50,18,0
2021,2,1,41,43,50,39,1
2021,2,2,17,29,100,27,1
2021,3,2,13,56,100,18,1
2021,1,2,19,19,100,16,2
2021,3,2,17,47,50,18,2
2021,2,2,38,32,50,29,2
2021,3,2,21,55,100,17,0
2021,0,2,38,12,50,10,1
2021,2,2,7,35,0,32,2
2021,3,2,21,55,100,48,0
2021,3,2,48,8,50,6,0
2021,2,2,22,55,50,48,0
2021,0,2,5,33,100,30,2
2021,3,2,38,27,100,25,0
2021,3,2,21,27,50,48,0
2021,0,2,19,55,100,48,2
2021,2,2,22,14,50,2,1
2021,3,2,39,55,100,48,1
2021,2,2,22,18,100,16,0
2021,3,2,48,19,100,48,2
2021,2,2,22,55,100,48,0
2021,2,2,22,7,0,5,2
2021,3,2,38,55,100,48,0
2021,3,2,17,55,0,48,1
2021,2,1,17,30,0,48,0
2021,3,2,15,55,0,48,0
2021,2,2,38,51,50,45,0
2021,2,2,48,19,50,17,2
2021,2,2,17,22,50,18,2
2021,0,2,7,27,0,7,0
2021,0,2,38,14,50,12,1
2021,3,2,45,55,100,48,0
2021,0,3,10,15,50,13,2
2021,2,2,38,4,100,4,1
2021,3,2,15,55,100,48,0
2021,2,2,38,44,100,40,0
2021,2,2,22,20,50,18,0
2021,2,2,22,27,0,25,1
2021,2,2,22,20,50,18,0
2021,3,2,41,55,100,6,0
2021,1,0,46,55,100,48,2
2021,3,2,22,8,100,6,2
2021,2,2,22,14,50,12,0
2021,3,2,22,55,0,48,0
2021,3,2,12,8,100,6,1
2021,0,2,7,27,100,25,0
2021,3,2,36,55,100,48,2
2021,3,2,24,55,100,48,0
2021,3,2,12,55,100,48,0
2021,2,2,16,55,100,48,0
2021,2,2,30,55,0,48,2
2021,2,2,48,8,100,6,1
2021,2,2,22,18,100,16,1
2021,0,2,22,56,0,49,1
2021,0,2,17,27,50,25,1
2021,3,2,22,8,100,6,0
2021,2,2,12,55,100,48,0
2021,2,2,17,55,100,48,0
2021,3,2,22,55,100,48,0
2021,0,2,1,27,100,1,2
2021,2,2,17,20,50,18,0
2021,0,2,22,19,50,17,0
2021,2,2,17,53,0,46,1
2021,3,2,17,20,50,18,0
2021,3,2,44,55,100,48,1
2021,2,2,22,55,50,48,0
2021,0,2,22,55,100,48,2
2021,1,2,45,55,100,48,0
2021,0,2,22,27,100,25,1
2021,2,2,12,55,100,48,0
2021,3,2,6,8,50,6,1
2021,3,2,46,14,100,12,1
2021,3,2,38,55,50,48,0
2021,1,2,25,14,0,12,0
2021,2,2,22,55,50,48,0
2021,3,2,12,14,50,12,0
2021,2,2,22,27,100,25,2
2021,3,2,38,27,0,25,0
2021,2,2,22,48,100,12,2
2021,3,2,33,45,50,48,2
2021,2,2,17,55,0,48,1
2021,2,2,17,55,0,48,1
2021,2,2,17,53,100,46,1
2021,0,2,17,14,50,12,1
2021,0,2,17,55,100,48,0
2021,3,2,10,7,0,5,1
2021,0,2,19,14,0,12,0
2021,0,2,38,40,100,12,2
2021,3,2,22,19,50,17,1
2021,0,2,22,55,100,48,1
2021,0,2,22,55,50,48,0
2021,3,2,1,18,100,16,0
2021,3,2,22,53,50,46,0
2021,0,2,8,34,100,31,0
2021,2,2,17,55,100,48,0
2021,0,2,48,31,0,9,0
2021,2,3,17,40,100,37,0
2021,3,0,49,55,100,48,1
2021,2,2,48,13,50,11,0
2021,3,2,21,27,50,25,0
2021,3,2,29,51,100,45,0
2021,2,2,22,55,50,48,0
2021,2,2,38,30,50,28,0
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,2,2,22,55,0,48,1
2022,2,2,22,55,0,48,1
2022,2,2,17,55,100,48,1
2022,2,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,22,20,0,18,1
2022,3,2,22,20,0,18,1
2022,3,2,22,55,100,48,1
2022,3,2,22,55,100,48,1
2022,0,2,17,20,100,18,1
2022,3,2,12,55,0,48,1
2022,3,2,12,55,0,48,1
2022,2,2,12,55,0,48,1
2022,2,2,12,55,0,48,1
2022,1,2,17,55,100,48,1
2022,1,2,17,55,100,48,1
2022,2,2,22,20,0,18,1
2022,2,2,22,20,0,18,1
2022,2,2,17,20,0,18,1
2022,2,2,17,20,0,18,1
2022,3,2,22,55,100,48,1
2022,0,2,17,20,100,18,1
2022,3,2,22,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,0,48,1
2022,3,2,17,55,0,48,1
2022,3,2,17,55,0,48,1
2022,3,2,17,55,0,48,1
2022,3,2,22,55,0,48,0
2022,3,2,22,55,0,48,0
2022,3,2,12,55,100,48,1
2022,1,2,12,55,100,48,1
2022,1,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,2,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,2,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,1,2,30,55,100,48,1
2022,1,2,30,55,100,48,1
2022,1,2,2,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,0,48,1
2022,3,2,22,55,0,48,1
2022,3,2,17,55,0,48,0
2022,3,2,12,55,100,48,1
2022,3,2,21,55,100,48,1
2022,3,2,21,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,17,20,0,18,1
2022,3,2,17,20,0,18,1
2022,3,2,22,55,0,48,1
2022,3,2,22,55,100,48,1
2022,3,2,16,8,100,6,1
2022,3,2,16,8,100,6,1
2022,3,2,12,8,100,6,1
2022,3,2,12,8,100,6,1
2022,3,2,17,55,0,48,0
2022,3,2,22,55,100,48,1
2022,3,2,17,55,0,48,1
2022,2,2,12,55,0,48,2
2022,1,2,2,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,38,55,0,48,1
2022,3,2,38,55,0,48,1
2022,2,2,26,21,0,19,1
2022,1,2,33,8,100,6,2
2022,3,2,12,55,0,48,1
2022,3,2,16,55,100,48,1
2022,3,2,16,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,1,2,31,27,50,25,0
2022,0,2,38,20,100,18,0
2022,3,2,12,55,0,48,1
2022,3,2,17,55,100,48,1
2022,2,2,38,20,0,18,1
2022,2,2,38,20,0,18,1
2022,2,2,1,55,0,48,1
2022,3,2,15,55,100,48,1
2022,3,2,15,55,100,48,1
2022,2,2,38,19,100,12,1
2022,2,2,17,20,0,18,1
2022,3,2,22,55,100,48,0
2022,3,2,22,55,100,48,0
2022,3,2,17,55,100,48,0
2022,3,2,17,55,100,48,0
2022,3,2,12,55,0,48,1
2022,3,2,12,55,0,48,1
2022,3,2,17,55,100,48,1
2022,2,2,17,20,0,18,1
2022,3,2,17,55,100,48,0
2022,2,2,12,20,100,18,1
2022,3,2,22,55,100,48,1
2022,2,2,22,20,0,18,1
2022,2,2,22,20,0,18,1
2022,2,2,17,21,100,19,1
2022,2,2,17,21,100,19,1
2022,2,2,17,20,100,18,1
2022,2,2,17,20,100,18,1
2022,3,2,22,55,100,48,1
2022,3,2,20,1,100,34,0
2022,2,2,17,55,0,48,1
2022,2,2,41,55,100,48,0
2022,2,2,41,55,100,48,0
2022,2,2,21,55,100,48,1
2022,2,2,21,55,100,48,1
2022,3,2,22,55,0,48,1
2022,3,2,22,55,0,48,1
2022,2,2,17,55,0,48,1
2022,3,2,17,55,100,48,0
2022,2,2,17,18,100,16,1
2022,3,2,22,55,0,48,0
2022,2,2,12,20,100,18,1
2022,2,2,12,18,100,16,1
2022,2,2,12,18,100,16,1
2022,2,2,17,18,100,16,1
2022,2,2,17,18,100,16,1
2022,2,2,17,20,100,18,1
2022,2,2,17,20,100,18,1
2022,2,2,17,18,100,16,1
2022,2,2,17,21,100,19,1
2022,2,2,12,21,100,19,1
2022,2,2,12,21,100,19,1
2022,2,2,17,20,100,18,1
2022,3,2,22,55,0,48,0
2022,2,2,17,21,100,19,1
2022,3,2,17,55,100,48,1
2022,0,2,36,46,100,41,0
2022,3,2,17,55,100,48,1
2022,2,2,37,8,100,6,1
2022,1,2,25,8,50,6,0
2022,2,2,38,55,100,48,2
2022,0,2,10,55,0,48,1
2022,2,2,43,55,50,48,0
2022,3,2,17,55,100,48,1
2022,3,2,35,14,0,12,1
2022,2,2,8,27,100,25,1
2022,2,2,22,27,100,25,0
2022,2,2,39,46,50,41,0
2022,0,2,28,55,50,48,0
2022,2,3,17,14,50,12,0
2022,0,2,22,27,100,25,1
2022,3,2,46,14,100,12,1
2022,0,2,17,55,100,48,1
2022,3,2,48,55,50,48,0
2022,3,2,22,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,22,55,100,48,1
2022,2,2,12,55,100,48,1
2022,2,2,12,55,100,48,1
2022,3,2,22,55,100,48,1
2022,2,2,22,20,0,18,1
2022,2,2,22,20,0,18,1
2022,3,2,22,55,100,48,1
2022,3,2,38,55,100,48,1
2022,2,2,22,55,100,48,1
2022,2,2,22,55,100,48,1
2022,3,2,38,0,100,0,2
2022,3,2,38,0,100,0,2
2022,1,2,17,55,100,48,1
2022,1,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,38,55,100,48,1
2022,3,2,22,55,100,48,1
2022,0,3,22,16,50,14,1
2022,2,1,22,8,100,48,1
2022,0,0,4,52,100,11,1
2022,3,2,29,38,100,48,1
2022,2,2,44,8,100,6,2
2022,2,2,22,44,100,40,0
2022,3,2,37,8,100,6,1
2022,3,2,22,7,100,48,1
2022,2,2,41,55,50,48,1
2022,0,2,17,43,100,12,1
2022,3,2,22,55,100,48,1
2022,3,2,48,19,50,17,0
2022,0,2,22,8,100,6,0
2022,3,2,38,40,100,37,0
2022,2,2,29,17,100,15,2
2022,0,2,22,32,100,35,0
2022,2,2,38,3,100,3,0
2022,3,2,17,55,100,48,1
2022,0,2,22,3,50,3,1
2022,2,2,4,6,100,48,0
2022,2,2,48,2,0,2,0
2022,0,2,48,55,100,48,0
2022,2,2,3,55,100,48,0
2022,0,2,11,3,100,3,2
2022,2,2,8,8,50,6,0
2022,0,2,17,55,100,48,2
2022,3,2,38,26,100,23,2
2022,0,2,13,43,0,39,1
2022,2,2,22,49,100,48,2
2022,3,2,21,55,100,48,1
2022,2,2,17,19,100,17,1
2022,2,2,22,9,0,7,0
2022,3,2,3,55,100,48,0
2022,2,2,22,8,100,6,1
2022,0,2,10,46,100,31,1
2022,2,2,12,21,100,19,2
2022,3,2,14,55,100,48,0
2022,2,2,22,55,100,48,0
2022,3,2,3,55,100,48,0
2022,2,2,22,55,100,48,1
2022,3,2,12,55,100,48,1
2022,2,2,12,8,0,6,1
2022,2,2,12,8,0,6,1
2022,3,2,38,55,100,48,1
2022,3,2,38,55,100,48,1
2022,3,2,16,55,100,48,1
2022,3,2,16,55,100,48,1
2022,2,2,22,55,0,48,1
2022,2,2,22,55,0,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,2,2,17,55,0,48,1
2022,2,2,17,55,0,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,22,55,0,48,0
2022,3,2,22,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,0,48,1
2022,3,2,22,55,0,48,1
2022,3,2,22,55,0,48,1
2022,3,2,2,55,0,48,1
2022,3,2,2,55,0,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,0,48,1
2022,2,2,12,20,0,18,1
2022,3,2,12,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,100,48,1
2022,3,2,12,55,100,48,1
2022,2,2,12,20,0,18,1
2022,3,2,12,55,100,48,1
2022,3,2,16,55,100,48,1
2022,3,2,16,55,100,48,1
2022,3,2,22,55,100,48,1
2022,3,2,15,55,100,48,1
2022,3,2,15,55,100,48,1
2022,2,2,22,55,100,48,1
2022,2,2,22,55,100,48,1
2022,0,2,12,8,0,6,1
2022,0,2,12,8,0,6,1
2022,3,2,17,55,100,48,1
2022,3,2,17,55,100,48,1
2022,3,2,12,55,0,48,1
2022,3,2,12,55,100,48,1
2022,2,2,1,27,100,48,0
